"Total.Household.Income","Total.Food.Expenditure","Agricultural.Household.indicator","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure","Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Age","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle"
96100,48219,2,14470,10632,4520,7722,240,4908,9010,0,2850,60,39042,27000,300,1536,0,0,2370,0,0,23400,65,3,0,1,1,10,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
126118,33784,0,5380,2964,85,108,2540,0,17800,0,0,1400,21480,15000,58648,1560,0,0,6288,0,0,0,78,1,0,0,0,30,35,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
71182,51475,0,25737,21568,2578,5858,3335,5058,260,0,1146,2014,5388,2400,235,4740,336,520,2880,0,8000,27402,65,6,0,2,1,25,7,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0
57112,35697,0,19310,18487,1208,4567,649,1425,440,0,0,884,8352,4200,401,1224,0,0,2022,2110,16572,17232,60,3,1,0,1,49,26,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0
147105,63058,1,21803,16851,5070,3061,965,3530,22200,760,0,940,18900,12000,175,13920,1680,5090,7206,4200,56180,56180,42,3,0,0,1,20,17,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0
168372,115172,0,31013,10400,20808,21468,3340,4745,8055,0,0,12700,45522,10800,11473,5496,468,1500,5466,10600,0,89280,47,3,0,1,0,70,19,1,1,2,1,0,2,1,1,0,0,1,1,1,0,0
91722,46016,1,19011,0,3180,7732,345,3275,2030,56,2444,1880,10980,4200,1258,5688,528,3300,5514,195,11430,25344,43,5,0,3,2,25,17,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0
60387,34352,0,15113,245,195,1582,1825,4045,6980,1300,0,305,37782,34800,305,4818,288,800,2778,300,19981,22095,36,4,0,2,0,29,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1097587,309582,0,44032,26700,51414,41228,12540,16921,91008,2700,19600,10190,421104,108000,15323,86106,36072,10600,62730,15500,0,60200,38,6,0,2,3,108,20,3,1,1,1,1,1,2,1,2,0,8,3,1,0,0
126445,45137,0,27099,0,2405,4623,1125,2961,8400,0,520,1240,8184,3900,1130,5958,810,17500,3906,0,18120,36296,55,7,0,1,1,16,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1
181893,99592,0,14529,10018,12150,9432,2170,3555,20880,0,0,3605,20154,9000,2575,22428,1944,0,10926,8000,0,0,56,3,1,0,1,42,35,2,1,1,0,0,1,1,0,0,0,2,0,0,0,0
294595,56721,0,32118,28150,5376,4483,2180,5405,500,155,0,2750,14232,2400,0,1242,1134,580,3066,130000,48605,48605,58,4,0,1,4,33,15,2,1,1,1,0,0,0,0,0,0,3,0,0,0,0
156992,71291,0,39404,29040,3867,7704,2210,3957,2080,1336,6998,5885,9180,3600,782,2004,2574,34230,6120,0,0,0,50,7,1,3,1,50,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59485,36116,0,14221,10336,5454,4266,200,2450,5170,0,0,460,9636,6000,90,0,720,0,3090,120,0,0,50,1,0,0,1,50,33,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
217633,65722,0,20302,15248,10159,3805,3200,2974,11520,0,0,3910,63900,42000,541,10716,1140,26400,6048,12000,11838,11838,75,3,0,1,0,36,35,3,1,3,1,0,1,0,0,0,0,1,0,0,0,0
113670,69473,0,25817,17230,11736,9558,2526,6110,0,0,0,875,17328,9000,315,4458,690,0,3540,800,0,0,57,3,0,0,2,35,20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
353070,74276,0,17959,13720,14966,5062,2630,3750,16340,0,0,3200,91020,54000,839,9210,9000,26745,4278,36000,0,37380,46,3,1,1,1,96,18,2,1,1,0,0,1,1,1,0,0,2,1,1,0,1
489268,107861,0,31466,23770,10978,22174,2380,8820,4600,0,6990,10486,52230,30000,1135,4860,2700,0,18402,4000,0,91698,64,5,0,1,1,100,32,2,1,1,1,1,1,0,0,0,0,3,0,1,0,1
82137,56385,1,26708,24688,1840,6320,4030,7809,2355,0,815,705,13536,7800,910,1200,648,1960,2754,0,5250,5250,49,6,0,3,2,20,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
151345,78729,0,19178,16880,17462,9380,640,5726,13610,540,0,2270,10416,6000,6270,10602,1248,3400,9834,1000,0,0,23,5,1,2,2,20,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
137602,77614,0,16369,12390,13562,10410,2600,7140,12676,3796,0,2120,35058,22200,10415,3888,1794,1800,8178,0,0,79842,49,3,0,1,0,24,27,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
485633,138744,0,46182,38010,28812,11252,4567,10925,14130,60,0,14972,31242,18000,496,16308,5400,22050,38436,3000,0,83350,38,5,0,2,1,100,16,3,1,1,0,1,1,1,0,0,0,5,2,0,0,0
1356856,287544,0,36174,24180,31408,19572,9830,9343,134100,696,676,16875,155400,66000,1672,120480,23874,28000,80628,14500,0,0,52,6,0,0,5,25,36,2,1,2,1,1,1,1,1,0,0,6,1,0,0,0
82040,52280,1,32909,30750,2260,4846,750,2135,600,0,390,1370,10200,4200,127,780,216,600,2412,0,61030,68740,43,7,0,3,0,50,15,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0
103244,55619,0,21012,16900,5320,12274,1855,2540,6846,4525,0,1020,13350,4800,3018,3642,648,830,3198,730,15945,16435,39,3,0,2,0,36,35,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
155984,86024,2,41141,33303,3358,13607,1960,4695,8268,0,1810,3549,16014,6000,380,3168,2052,2960,3042,1500,7525,137177,43,6,0,3,0,25,13,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0
68694,26289,0,11425,5545,2220,6080,460,1550,0,0,0,680,4800,2700,100,480,780,0,2820,0,16888,55746,73,3,0,0,0,15,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107950,39960,1,15387,12705,3263,5697,950,4285,2600,0,7964,795,17808,13200,1164,2640,1680,0,2376,0,4640,6440,53,2,0,0,2,32,3,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
407774,154440,0,26965,24041,25445,19409,2860,6314,22900,0,1086,3800,108840,78000,657,6774,3240,0,21264,20000,0,0,56,6,2,1,0,70,20,3,1,1,0,0,1,0,0,0,0,3,2,0,0,0
44184,34952,1,19167,10140,1984,6914,523,2104,1300,342,246,625,8040,4800,113,2088,0,600,1602,0,11904,11904,44,4,0,1,1,13,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
113767,49983,0,35011,34110,2870,3075,410,1395,1315,1290,390,1941,8676,3600,18,26508,426,320,3168,1786,15790,24864,50,7,1,4,1,45,22,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
127085,52480,1,24853,21054,8140,4981,2290,3480,600,1600,0,9750,14616,4800,3855,5010,2160,500,3312,8210,56655,56655,61,3,0,1,3,20,44,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0
223127,66442,0,22520,17540,6286,8264,1645,5325,13500,1384,0,1070,19008,7800,635,7158,3600,10570,4680,12000,59155,77955,61,4,0,0,2,60,25,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0
157714,56166,0,19030,13032,1880,8956,1393,6435,4195,0,0,4020,11940,6000,115,6078,2406,1949,4764,1200,0,0,51,4,0,2,2,18,25,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
121741,43531,0,11168,8112,5584,7031,1592,7174,4105,3516,7540,4470,25362,14400,113,4752,3120,0,4680,0,21000,21000,51,1,0,0,1,108,51,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1
338176,49275,1,14085,9600,8470,9906,1213,7250,0,504,1326,15109,24192,12000,11640,5100,3396,2500,6954,0,15000,15000,62,14,0,4,7,320,25,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0
238115,129827,0,47036,43688,27272,10549,1035,5378,23432,0,0,3945,26640,9000,959,10356,2196,3182,8820,6600,70415,146315,38,6,0,4,0,50,14,2,1,1,1,1,1,1,0,0,0,3,0,0,0,2
224867,73005,0,31045,28880,1464,5538,4220,4084,19000,0,0,6650,21018,6000,36056,10512,2988,54663,14922,6000,33417,33417,77,6,0,1,1,70,25,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0
166447,55602,1,33360,24426,5306,5794,1005,2053,1600,2440,4349,5600,11220,6000,810,684,516,2090,8634,1250,55289,96229,41,5,0,3,2,52,30,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0
1410240,132462,0,52671,13183,19328,5386,5514,9100,8400,2195,0,950,274344,150000,1500,768,25368,0,6342,0,0,0,60,2,0,0,0,300,12,2,1,1,1,0,1,1,1,0,0,3,2,1,0,0
85958,41148,2,8021,0,3134,16026,1615,5388,0,0,0,3800,19632,4800,5400,1260,2598,0,1530,3000,0,50120,80,2,0,0,0,100,20,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
216117,113030,1,73612,60250,9440,6540,3640,7003,1716,300,720,1970,13380,1800,2000,1158,2274,14650,4854,0,7250,92250,51,11,0,6,1,28,5,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
118875,74731,0,21314,16800,7340,9621,3860,4530,15910,0,0,640,13566,7200,800,17292,2226,5500,9984,1000,7080,7080,42,3,0,0,2,24,17,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
74678,45221,0,13253,8320,8292,3884,3672,3300,450,100,0,960,10788,6000,255,3504,624,830,2244,0,0,0,30,4,2,0,1,40,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
76720,40909,0,15698,13248,5100,8556,560,3530,1000,455,1810,0,27660,12000,65,3060,540,0,1236,2000,0,31950,51,2,0,0,0,33,26,2,1,1,1,1,1,1,0,0,0,1,0,1,0,1
510096,162592,0,17984,9912,33845,26870,12152,12204,24950,420,0,14739,52080,27000,1902,13128,3570,26500,18768,32680,13240,89856,62,4,0,1,2,100,23,3,1,4,1,0,2,2,1,1,0,3,2,1,0,1
133406,78179,0,38781,35088,1450,3602,1120,2078,10266,4878,7240,520,20454,12000,4316,2988,2838,750,16308,8828,0,0,59,10,2,2,4,25,31,1,1,1,1,0,0,0,0,0,0,4,0,0,0,0
74084,28100,1,13711,0,1150,5582,605,2545,900,250,900,2840,12240,6000,400,720,744,410,2010,550,0,44831,46,5,0,3,0,15,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179450,53588,0,13411,7774,10264,7353,1058,4846,4507,0,0,4005,21510,11400,400,4416,2292,1000,13224,7500,0,38400,30,4,1,1,1,25,16,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0
136027,134386,0,28740,20400,28678,6754,2050,3460,40020,0,0,2400,87900,60000,355,17904,21360,38600,15900,9400,0,0,36,4,0,2,1,200,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107489,58206,0,30311,25238,6280,5952,2251,4811,1450,0,15023,1300,17760,9000,120,2100,2160,0,5616,1200,0,44740,53,3,0,0,1,30,25,2,1,1,0,0,0,1,0,0,0,2,0,0,0,1
670190,136199,0,24954,14310,26504,14566,4900,7394,29550,0,0,2250,139800,108000,12415,20256,12720,18100,38544,40000,0,0,72,3,0,1,1,100,29,3,1,2,1,0,1,1,1,1,1,2,1,1,0,0
178096,106213,0,25912,17184,22852,10750,2729,4189,8760,0,4344,6000,38100,21000,9230,7722,6222,0,17178,0,0,121096,56,5,1,2,0,50,56,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0
428066,148947,2,18464,13756,6320,4720,2660,4773,46250,255,2097,2575,49236,0,6143,23028,17850,0,30276,3470,0,0,57,6,2,0,2,5,8,2,1,1,0,0,0,0,0,0,0,3,1,1,0,0
1038640,268048,0,15812,10280,65634,23820,7950,10233,122650,3656,7240,37765,132108,78000,12088,74334,28248,13300,107940,17500,0,0,74,4,0,1,3,200,50,4,1,2,2,2,2,2,2,2,0,6,2,1,0,1
33561,23589,0,9130,8183,75,3296,378,815,6820,0,572,200,6060,4200,146,120,0,0,270,0,412,412,72,1,0,0,0,60,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
367130,74297,0,11978,9360,462,3642,2635,1290,46800,0,0,1345,61320,18000,2640,5358,408,18530,4674,0,0,242207,49,3,0,1,0,22,10,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0
68071,33841,0,14941,1100,1800,3940,832,6352,0,75,0,990,7854,4800,60,2280,450,0,3126,0,21931,21931,65,2,0,0,0,45,17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
196698,98362,2,18135,9360,14375,7281,1564,4960,22088,0,0,1890,25164,12000,2795,23166,2160,3375,14916,3000,0,0,32,5,1,2,1,45,25,2,1,1,0,0,1,1,0,0,0,2,0,0,0,0
77365,54957,1,25683,22200,4118,8974,925,6050,0,1120,5960,240,10140,7800,60,11640,312,300,6018,0,0,0,35,6,1,3,1,17,2,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0
230427,88979,0,22031,17256,6920,7770,2780,5975,30046,1320,9050,3145,29700,12000,8686,14106,1512,16030,16824,12500,12800,12800,66,4,0,1,3,80,17,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
865014,209252,0,29234,15106,34988,19874,12398,6078,73100,2730,156,25630,65100,27000,7980,55830,29580,95600,58074,110000,0,0,47,6,1,0,3,45,19,3,1,1,1,0,1,1,2,1,1,6,3,0,0,1
339825,103643,0,29478,24830,4598,17008,2680,7155,3840,8585,650,6390,42234,21000,3634,20142,4548,4800,19194,2800,0,132992,58,8,1,2,2,66,15,2,1,1,1,0,1,0,0,0,0,3,0,0,0,2
121512,55690,1,19625,18148,3590,15378,477,2779,5370,1742,0,1870,10356,5400,0,2898,792,11058,4974,0,0,92850,56,5,0,1,0,17,3,2,1,1,1,0,0,0,0,0,0,2,0,0,1,0
184550,104379,0,37639,22349,1361,12465,1933,13326,23120,140,3620,3665,28770,18000,1186,10602,1170,1523,8454,600,0,0,44,6,0,4,2,20,15,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0
125548,95192,0,18370,14445,9683,15525,1686,17765,3533,0,0,606,29484,15000,870,9222,1044,6550,3990,300,0,110258,45,3,0,0,0,320,7,2,1,1,1,0,1,0,0,1,0,1,0,0,0,0
135253,66182,1,31463,19300,5060,11832,1270,3981,5412,680,2080,2300,7116,4200,171,900,192,3715,22710,5250,0,0,44,4,0,2,2,42,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52429,38882,0,16274,13890,740,8997,1475,1381,4920,0,120,1745,10350,6000,295,2136,0,1000,2058,0,0,0,71,3,0,2,0,24,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220459,85241,0,33452,25100,11683,3670,2437,6530,500,3528,0,11130,41124,24000,4699,10488,2940,4960,19002,12000,0,37554,55,7,2,0,1,80,3,3,1,1,1,0,1,1,0,0,0,4,0,1,0,1
54804,28594,0,14630,14480,600,3300,230,2285,3620,0,0,120,11922,9000,520,6504,516,0,1464,0,0,5400,74,3,0,0,1,41,23,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1
166115,61894,0,21098,13666,960,19783,3033,7495,120,0,0,927,67956,60000,1451,654,1950,485,5406,3645,0,75606,49,3,0,1,0,54,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
176480,80113,0,20762,15860,15504,11099,1630,3306,16380,0,0,1565,28800,21000,210,12576,2838,510,11322,3950,0,0,79,6,1,1,3,60,35,2,1,1,0,0,0,1,0,0,0,3,0,0,0,0
222781,51452,0,15823,6630,3933,2274,4858,1770,8905,1014,0,3717,51144,30000,30309,6990,7560,750,4044,0,0,59802,63,3,0,1,1,30,33,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0
821463,170860,2,28660,11744,56108,10359,1622,3488,43300,0,0,9314,179070,120000,73143,56160,41502,0,55398,9000,0,0,68,4,0,4,2,240,36,3,1,3,2,1,1,1,1,1,0,5,3,0,0,1
261366,89048,0,24659,18040,15111,4784,1610,2900,28360,3004,14480,4450,62670,30000,2985,15378,2028,3230,10860,0,0,41600,35,5,0,2,1,120,16,4,1,3,1,0,1,1,1,0,0,2,0,0,0,0
160685,81331,1,30910,250,5966,10816,4080,7485,3770,2050,1810,2390,12930,5400,1150,6906,834,4310,5982,3200,93742,95905,86,8,1,3,0,42,9,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
166220,73122,0,28004,13560,14200,12346,584,2863,3900,420,1685,4060,21120,15000,960,7404,1968,7820,8310,13000,0,37600,48,7,1,2,0,100,15,2,1,1,1,0,0,0,0,0,0,3,1,0,0,0
134170,65688,0,26825,23594,6166,7901,610,2945,7800,90,60,1370,12780,4800,109,4206,1038,90,11610,300,0,0,31,9,3,4,1,20,11,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
161108,70290,1,27800,26820,2850,16104,2205,5671,5800,780,0,3194,12048,4800,1055,5160,870,1490,10524,430,8627,40227,49,7,0,4,2,42,6,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0
404402,177665,0,30923,18824,17326,17614,2025,6588,66710,0,0,4740,56154,0,2845,48384,13026,1179,36336,0,0,0,59,6,0,3,2,60,23,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1
447575,185994,2,54640,45974,46066,23320,3138,5598,19325,1924,29684,710,88224,36000,490,540,4254,2350,11526,8000,0,174755,65,18,1,1,2,60,25,3,1,2,1,0,1,1,0,0,0,6,0,1,0,0
313118,120198,0,27998,15425,41599,13046,5003,8194,5100,0,0,2860,61830,33000,1165,3378,1926,180,7764,5000,0,234568,45,2,0,1,0,52,1,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0
143552,94463,0,35502,28316,11461,16916,860,3575,2400,2990,1800,3777,18138,9000,720,8736,2040,2600,7380,3500,0,43312,56,7,0,2,0,7,34,2,1,1,0,1,1,1,0,0,0,2,0,1,0,0
567794,184462,0,34961,15360,38029,15570,14308,7672,37038,0,0,15470,58704,0,4908,108114,16350,43780,26652,4000,0,0,38,7,1,4,0,20,1,1,1,1,0,0,1,1,0,1,0,3,0,0,0,1
243200,117961,0,47532,33847,10982,28041,1374,4175,3950,156,6154,2480,23256,9000,354,1314,1038,1900,10596,1500,0,0,58,6,1,2,5,15,30,3,1,1,1,0,0,0,0,0,0,5,0,0,0,0
197178,87302,0,29404,21612,11744,13625,3310,4430,6127,962,1040,2680,45024,22200,2578,10260,1896,750,16608,1800,97400,141280,42,6,0,3,0,50,43,2,1,1,1,0,1,1,0,0,0,3,1,1,0,1
169676,47044,0,6838,2496,870,2090,3418,4793,22370,360,0,1309,29982,18000,2245,3594,1218,0,2970,0,0,42406,70,2,0,0,1,200,30,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0
524700,130476,0,14958,12878,15783,9424,3840,6596,46000,0,0,11320,71220,54000,200533,28350,22338,52000,23634,2000,0,175400,41,5,0,3,1,100,10,3,1,2,0,1,0,1,0,0,1,2,0,0,0,0
156658,89763,0,34235,31260,5066,16542,1579,3512,8530,694,0,2289,18672,9000,1684,11976,4776,0,9786,3500,0,22744,62,6,1,0,2,54,16,2,1,1,1,0,0,0,0,0,0,4,0,0,0,0
477246,161643,0,28310,21876,15740,22441,12686,7654,52950,1602,0,6460,62250,30000,1500,28194,10416,0,28950,21000,0,0,64,4,0,0,3,30,14,2,1,1,1,1,1,1,1,0,0,4,1,1,0,1
32205,16703,1,5668,0,160,3541,735,1782,3100,75,408,720,3930,1200,10,900,0,0,186,0,0,0,72,1,0,0,1,30,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174400,66718,0,13486,10010,14206,8030,6190,8910,1500,0,0,10150,59034,34200,17694,7050,1938,0,8232,3000,0,43200,62,3,0,0,1,45,35,1,1,1,1,1,1,1,0,0,0,3,2,0,0,0
210425,126634,2,31258,24616,6441,9006,3845,5891,33960,2528,815,13920,43302,3000,27653,6072,3768,3240,7938,3100,0,0,34,7,1,4,3,20,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
194605,118412,0,43550,33206,10817,6644,2231,5248,20700,0,780,0,28674,10800,1088,6510,900,200,6654,3700,0,121550,66,7,2,1,0,15,25,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0
88315,44908,0,17468,14820,5057,7670,370,3586,1002,40,3801,2392,11262,5400,0,6900,216,580,8178,1720,0,430,29,3,0,1,1,12,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
207879,69656,0,18698,16900,8480,12922,2250,2972,9310,3250,0,3810,52974,36000,20930,9570,1320,555,12120,0,0,61200,57,3,0,1,0,90,17,2,1,1,0,0,0,1,0,0,0,3,1,0,0,0
98170,44430,0,19382,16700,2962,5972,850,1690,3440,980,2020,10409,19200,7500,96,2496,1560,0,10248,0,0,0,45,2,0,0,2,80,32,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0
94817,39410,0,16231,15018,4161,6322,2940,6240,0,0,0,6985,18030,9600,335,14076,2250,9780,3708,1000,12040,12040,47,5,0,1,1,28,17,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0
33023,15398,1,7379,0,1506,1180,424,2212,180,270,830,280,5250,3000,0,1590,0,0,1440,0,17400,17400,64,1,0,0,1,26,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157660,60891,0,22480,15600,570,21009,3556,3371,0,0,3016,1360,16500,12600,87,4740,1560,710,6654,0,0,135000,31,4,1,2,0,40,11,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
149872,66078,0,15194,13880,8014,15860,1010,3195,8503,0,0,3055,37740,24000,210,5880,1500,2800,7806,3050,0,0,63,6,0,3,2,60,1,2,1,1,0,0,0,1,0,0,0,4,0,0,0,0
109428,54897,0,22346,19146,10386,7363,2480,5870,0,0,780,1280,8400,3000,100,1140,582,0,3240,1000,33548,33548,69,3,1,0,2,24,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
502203,217431,0,47808,20162,27600,26890,3950,13010,46550,4030,4525,6050,100320,36000,4076,21798,32094,6700,49038,16500,0,108604,47,10,3,0,3,42,85,4,1,3,2,0,1,1,1,0,1,6,1,0,0,1
749388,193738,0,33874,26400,20340,12434,5280,7772,61963,40250,15385,22310,56640,36000,1524,48336,17994,7000,21546,5200,0,0,57,6,0,0,5,80,55,2,1,1,1,0,1,1,0,1,0,6,1,0,0,2
829886,122819,0,18578,10760,15418,14606,2200,4904,35800,0,90,4710,108882,51000,601500,27186,5100,22700,23322,126000,0,0,34,4,1,1,2,60,32,2,1,1,1,0,1,1,1,0,0,3,1,0,0,0
570284,209013,0,30158,16560,28435,16829,8769,16183,59900,0,0,30050,109980,78000,8152,18840,20592,75520,19932,0,0,453742,49,6,0,4,0,70,28,3,1,2,1,0,1,1,0,1,0,1,2,0,0,0
105740,54284,1,13041,1040,2172,3310,855,2946,21835,0,0,2915,5760,2400,952,4080,480,300,2166,4000,82290,82290,53,6,1,2,0,50,15,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
252900,128684,0,29895,19180,23276,9828,2180,5239,33826,3084,0,3660,47736,6000,21790,19206,9030,5164,18510,4500,0,244900,51,6,0,3,0,24,15,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1
120571,68940,1,33617,29060,4638,7044,4755,10021,0,100,0,120,13536,7200,7000,3798,0,0,3192,0,76187,86567,72,3,0,0,1,18,34,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
165491,69824,1,23693,22379,2526,8280,3608,2886,14220,1245,3620,2801,11220,2400,6585,5070,4362,0,5160,6200,0,0,22,5,1,1,3,80,16,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1
162525,63566,2,27610,21692,7494,6656,1095,3327,2185,0,2896,4875,18492,4200,2685,4758,1224,7400,6804,0,0,53230,34,4,0,2,1,52,16,3,1,1,1,0,1,0,0,0,0,2,0,0,0,1
450028,88439,0,21098,18004,7660,3332,1355,1619,39690,814,0,3279,83166,60000,9680,11604,16902,43400,13014,8000,0,344400,42,4,0,2,0,84,9,4,1,1,1,1,1,1,1,0,1,2,1,1,0,2
287218,211603,0,42296,28830,22101,20354,3764,4285,75400,1350,8280,9210,31776,0,24897,36042,2334,3120,9780,11000,0,6348,53,7,1,2,2,30,25,2,1,2,3,1,1,0,0,0,0,5,2,0,0,1
98193,58439,0,20671,14661,5913,14603,1770,2797,95,550,780,3473,12828,6000,560,2802,1896,150,5364,700,27670,27670,68,3,0,1,1,35,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
273093,141067,2,33831,29040,13750,8720,2740,5200,45900,6878,36,10895,79740,42000,2580,1050,15240,1060,8688,18373,0,54330,72,7,2,1,2,30,30,2,1,2,0,0,0,0,0,0,1,5,2,0,0,0
445212,146872,0,53535,41080,23805,12794,1415,2583,31400,3277,2266,7788,36270,21000,0,44886,3768,2620,14424,0,0,127602,39,7,0,3,3,50,18,3,1,1,1,0,1,1,0,0,0,5,0,1,0,0
114792,54389,0,24288,23000,3690,3278,725,6751,7785,468,0,800,15420,6000,175,5748,492,5960,6438,0,33673,48317,40,5,0,3,2,25,10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
455461,118235,2,20944,10010,21112,12818,3358,7836,29880,0,0,3590,48144,24000,936,32406,4590,4170,28560,977,0,75432,39,5,0,2,3,20,10,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0
241416,91172,0,32565,23975,13260,11964,2848,3826,9290,1452,2540,2790,46680,18000,8729,19998,2760,350,34848,5000,0,0,74,6,0,1,2,100,12,3,1,2,0,0,1,0,0,0,0,2,1,0,0,0
174291,55406,0,25401,24884,1686,2220,135,3920,13350,1250,0,3135,13002,4800,0,5298,1248,3915,4110,4000,1220,43615,70,4,0,1,1,21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288530,148837,2,29908,14976,26912,17570,2027,10317,33280,0,0,7020,102450,78000,2105,17352,9186,10190,14718,0,0,0,35,6,1,2,0,240,9,4,1,2,1,0,1,1,1,0,1,2,0,1,0,0
427567,84868,0,20982,17706,7163,11284,2405,3369,18320,0,0,5672,60456,24000,10800,24156,8994,2230,45570,8950,0,58797,60,4,0,2,1,90,17,2,1,1,1,1,1,1,0,0,0,4,1,1,0,0
283045,71697,0,20988,14480,10879,9740,3745,5162,8495,0,0,4000,55086,30000,4155,5988,7656,45578,26700,0,0,43150,54,3,0,1,0,50,25,3,1,2,0,0,1,1,1,0,0,3,0,1,0,0
180966,112853,1,51162,42372,6140,15360,4300,6660,7563,0,15520,10635,19860,4500,1029,5760,1320,8160,7164,1775,73061,156256,46,7,0,3,0,80,20,3,1,1,0,0,0,0,0,0,0,4,0,0,0,0
