"Total.Household.Income","Total.Food.Expenditure","Agricultural.Household.indicator","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure","Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Age","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle"
58150,20953,1,12644,11700,724,1542,323,1599,250,45,0,1957,12462,9000,984,1716,1020,0,1506,2000,28200,28200,77,2,0,0,0,90,73,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
316890,91075,2,28800,14023,890,4354,2680,1408,32930,0,0,6600,30234,7200,3560,31566,9216,0,22422,5000,0,0,27,3,0,1,3,40,20,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0
150710,53685,0,20453,15639,8495,5981,1250,4315,800,1524,9955,800,25254,18000,72,6342,1638,2600,5124,0,0,0,61,2,0,0,1,100,9,3,1,1,0,0,0,0,0,0,0,2,0,0,0,1
163355,47482,0,11275,8268,4378,6524,1040,4240,9090,240,0,990,14184,7200,0,5220,684,755,6864,5250,0,0,59,4,0,1,2,100,35,3,1,1,1,0,1,0,0,0,0,1,0,0,0,1
775443,172566,0,20746,11882,41094,50838,9883,11460,40000,0,0,16080,214926,180000,90994,24606,37440,0,10998,77786,0,74915,76,3,0,0,0,400,35,3,1,2,1,1,1,1,1,1,2,2,2,1,0,0
88059,70859,1,25599,23736,6854,10494,3255,7182,6725,2210,0,2405,15060,7200,378,1260,1080,1320,4230,900,24050,24050,65,5,1,1,1,100,11,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
147465,66698,2,30771,28236,3230,9225,775,3639,7520,0,5430,2967,7350,3600,759,2040,444,1125,6210,0,0,0,65,7,2,3,0,18,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
323102,139080,2,43186,27400,18436,17849,874,3860,18360,2028,5055,10175,42900,24000,104,11028,6960,7360,14514,10000,22829,28079,76,7,0,3,2,80,45,2,1,1,0,0,1,1,1,0,0,3,0,0,0,1
181848,138167,0,27064,18150,33103,7944,6248,18219,8010,1378,10407,13734,18396,10800,1202,12834,1080,2647,8892,20000,0,0,56,4,0,0,2,80,45,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0
65610,42493,1,18092,8640,4700,5980,1725,6754,0,1910,180,1570,6150,3600,1764,1398,144,0,2178,3760,28023,40131,71,3,0,0,0,80,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
201470,102248,0,14591,8840,8750,9320,5425,2700,3000,288,1532,10230,11700,6000,2150,5940,1200,2700,6948,7000,0,0,30,2,0,1,1,17,24,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
85140,90811,1,27267,17584,17943,8546,1810,8338,8800,240,8145,1320,8400,4800,5810,16182,450,750,5022,5000,43875,43875,53,5,1,1,2,42,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
